Unnamed: 0,participant,correct_resp,resp,stim_interval,rt,vivid_report,correct,participant_hr,stim_hr,resp_hr,dur_hr,viv_hr
69,gr,2.0,1.0,0.125,0.5521852079546079,4.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.5789473684210527,0.7647058823529411
70,gr,2.0,1.0,0.25,0.5048060819972306,5.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.7333333333333333,0.8260869565217391
71,gr,1.0,1.0,0.275,0.3781550829880871,4.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.5454545454545454,0.7647058823529411
72,gr,2.0,2.0,0.125,0.2752919580088928,5.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.5789473684210527,0.8260869565217391
73,gr,1.0,2.0,0.125,1.0411867910297588,5.0,0.0,0.7391304347826086,0.7614678899082569,0.7346938775510204,0.5789473684210527,0.8260869565217391
74,gr,1.0,1.0,0.35,0.5552512489957735,3.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.875,0.6666666666666666
75,gr,2.0,1.0,0.125,0.4019421659759246,4.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.5789473684210527,0.7647058823529411
76,gr,2.0,2.0,0.375,0.8363942069699988,4.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.875,0.7647058823529411
77,gr,2.0,1.0,0.05,1.0305869579897262,5.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.5789473684210527,0.8260869565217391
78,gr,2.0,1.0,0.5,0.9760731659480372,4.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.8333333333333334,0.7647058823529411
79,gr,1.0,1.0,0.5,0.3210244569927454,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.8333333333333334,0.8260869565217391
80,gr,2.0,2.0,0.3,1.0206817080033943,2.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.6363636363636364,0.5421686746987951
81,gr,2.0,2.0,0.325,0.2904954580008052,4.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.6,0.7647058823529411
82,gr,2.0,2.0,0.25,0.6482042070128955,3.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.7333333333333333,0.6666666666666666
83,gr,1.0,1.0,0.2,0.3403910410124808,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.625,0.8260869565217391
84,gr,2.0,1.0,0.025,1.3512948320130818,5.0,0.0,0.7391304347826086,0.5333333333333333,0.5684931506849316,0.5454545454545454,0.8260869565217391
85,gr,1.0,1.0,0.375,0.2690289159654639,5.0,1.0,0.7391304347826086,0.7614678899082569,0.5684931506849316,0.875,0.8260869565217391
86,gr,2.0,2.0,0.375,1.0934938740101643,5.0,1.0,0.7391304347826086,0.5333333333333333,0.7346938775510204,0.875,0.8260869565217391
